url|pdf_filename|symbol|title|authors|pdf_url|pdf_language|abstract|meeting|doctype|topics|keywords|countries|pubdate|year
http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007238|FCCC-SBI-2012-L.45.pdf|FCCC/SBI/2012/L.45|Review of the financial mechanism. Draft conclusions proposed by the Chair.|UNFCCC. Subsidiary Body for Implementation (SBI)|http://unfccc.int/resource/docs/2012/sbi/eng/l45.pdf|EN||Subsidiary Body for Implementation (SBI), Thirty-seventh session, 26 November - 1 December 2012, Doha, Qatar|meeting papers|financial mechanism|Adaptation Fund;Green Climate Fund;Standing Committee||2012-12-01|2012
http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007239|FCCC-SBI-2012-L.46.pdf|FCCC/SBI/2012/L.46|Initial review of the Adaptation Fund. Draft conclusions proposed by the Chair.|UNFCCC. Subsidiary Body for Implementation (SBI)|http://unfccc.int/resource/docs/2012/sbi/eng/l46.pdf|EN||Subsidiary Body for Implementation (SBI), Thirty-seventh session, 26 November - 1 December 2012, Doha, Qatar|meeting papers|Adaptation Fund|Adaptation Fund Board;funds;World Bank||2012-12-01|2012
http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007242|FCCC-SBI-2012-L.49.pdf|FCCC/SBI/2012/L.49|Further guidance to the Least Developed Countries Fund. Draft conclusions proposed by the Chair.|UNFCCC. Subsidiary Body for Implementation (SBI)|http://unfccc.int/resource/docs/2012/sbi/eng/l49.pdf|EN||Subsidiary Body for Implementation (SBI), Thirty-seventh session, 26 November - 1 December 2012, Doha, Qatar|meeting papers|LDC Fund|GEF;LEG;national adaptation programmes of action (NAPAS);work programme||2012-12-01|2012
http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007210|FCCC-SBSTA-2012-L.23.pdf|FCCC/SBSTA/2012/L.23|Forum and work programme on the impact of the implementation of response measures. Draft conclusions proposed by the Chair.|UNFCCC. Subsidiary Body for Scientific and Technological Advice (SBSTA)|http://unfccc.int/resource/docs/2012/sbsta/eng/l23.pdf|EN||Subsidiary Body for Scientific and Technological Advice (SBSTA), Thirty-seventh session, 26 November - 1 December 2012, Doha, Qatar|meeting papers|impacts of implementation of response measures|adaptation to climate change;implementation;work programme||2012-12-01|2012
http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007217|FCCC-SBSTA-2012-L.26.pdf|FCCC/SBSTA/2012/L.26|Nairobi work programme on impacts, vulnerability and adaptation to climate change. Draft conclusions proposed by the Chair.|UNFCCC. Subsidiary Body for Scientific and Technological Advice (SBSTA)|http://unfccc.int/resource/docs/2012/sbsta/eng/l26.pdf|EN||Subsidiary Body for Scientific and Technological Advice (SBSTA), Thirty-seventh session, 26 November - 1 December 2012, Doha, Qatar|meeting papers|Nairobi work programme|adaptation to climate change;climate impacts;vulnerability||2012-12-01|2012
http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007209|FCCC-SBSTA-2012-L.22_FCCC-SBI-2012-L.33.pdf|FCCC/SBSTA/2012/L.22; FCCC/SBI/2012/L.33|Work of the Adaptation Committee. Draft conclusions proposed by the Chairs.|UNFCCC. Subsidiary Body for Scientific and Technological Advice (SBSTA)|http://unfccc.int/resource/docs/2012/sbsta/eng/l22.pdf|EN||Subsidiary Body for Scientific and Technological Advice (SBSTA), Thirty-seventh session, 26 November - 1 December 2012, Doha, Qatar - ~ - Subsidiary Body for Implementation (SBI), Thirty-seventh session, 26 November - 1 December 2012, Doha, Qatar|meeting papers|Adaptation Committee|Bali Action Plan;financial resources;work programme||2012-12-01|2012
http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007198|FCCC-AWGLCA-2012-CRP.14.pdf|FCCC/AWGLCA/2012/CRP.14|Submission from Bolivia (Plurinational State of), China, Cuba, Dominica, Ecuador, Egypt, El Salvador, India, Iran (Islamic Republic of), Iraq, Kuwait, Malaysia, Nicaragua, Philippines, Saudi Arabia, Sri Lanka and Venezuela (Bolivarian Republic of).|UNFCCC. Secretariat;Bolivia (Plurinational State of);China;Cuba;Dominica;Ecuador;Egypt;El Salvador;India;Iran (Islamic Republic of);Iraq;Kuwait;Malaysia;Nicaragua;Philippines;Saudi Arabia;Sri Lanka;Venezuela (Bolivarian Republic of)|http://unfccc.int/resource/docs/2012/awglca15/eng/crp14.pdf|EN|On 29 November 2012, the secretariat received a submission from a group of Parties. The secretariat was requested to issue a conference room paper containing this submission. This submission is attached and reproduced in the language in which it was received and without formal editing|Ad Hoc Working Group on Long-Term Cooperative Action under the Convention (AWGLCA), Fifteenth session (second part), 26 November - 7 December 2012, Doha, Qatar|submissions by parties and organizations||adaptation to climate change;commitments;emission reduction;submissions||2012-11-30|2012
http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007190|FCCC-AWGLCA-2012-CRP.11.pdf|FCCC/AWGLCA/2012/CRP.11|Submission from Argentina, Bolivia (Plurinational State of), China, Democratic Republic of the Congo, Dominica, Ecuador, Egypt, El Salvador, India, Iran (Islamic Republic of), Iraq, Kuwait, Malaysia, Mali, Pakistan, Philippines, Saudi Arabia, Sri Lanka, Sudan and Thailand.|UNFCCC. Secretariat;Argentina;Bolivia (Plurinational State of);China;Democratic Republic of the Congo;Dominica;Ecuador;Egypt;El Salvador;India;Iran (Islamic Republic of);Iraq;Kuwait;Malaysia;Pakistan;Mali;Philippines;Saudi Arabia;Sri Lanka;Sudan;Thailand|http://unfccc.int/resource/docs/2012/awglca15/eng/crp11.pdf|EN|On 27 November 2012, the secretariat received a submission from a group of Parties. The secretariat was requested to issue a conference room paper containing this submission. This submission is attached and reproduced in the language in which it was received and without formal editing|Ad Hoc Working Group on Long-Term Cooperative Action under the Convention (AWGLCA), Fifteenth session (second part), 26 November - 7 December 2012, Doha, Qatar|submissions by parties and organizations||capacity building;submissions;technology;work programme||2012-11-29|2012
http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007179|FCCC-AWGLCA-2012-CRP.6.pdf|FCCC/AWGLCA/2012/CRP.6|Submission from the Philippines.|UNFCCC. Secretariat;Philippines|http://unfccc.int/resource/docs/2012/awglca15/eng/crp06.pdf|EN|On 26 November 2012, the secretariat received a submission from the Philippines. The secretariat was requested to issue a conference room paper containing this submission. This submission is attached and reproduced in the language in which it was received and without formal editing|Ad Hoc Working Group on Long-Term Cooperative Action under the Convention (AWGLCA), Fifteenth session (second part), 26 November - 7 December 2012, Doha, Qatar|submissions by parties and organizations|technology transfer|mitigation;science and technology;submissions||2012-11-28|2012
http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007184|FCCC-AWGLCA-2012-CRP.9.pdf|FCCC/AWGLCA/2012/CRP.9|Submission from Philippines, Malaysia, Thailand, Saudi Arabia, India, China, Sri Lanka, Egypt, Sudan, Iraq, Iran (Islamic Republic of), El Salvador, Nicaragua, Democratic Republic of the Congo, Ecuador, Maldives and Venezuela (Bolivarian Republic of).|UNFCCC. Secretariat;Bolivia (Plurinational State of);China;Cuba;Democratic Republic of the Congo;Ecuador;Egypt;El Salvador;India;Iran (Islamic Republic of);Iraq;Malaysia;Mali;Maldives;Nicaragua;Philippines;Saudi Arabia;Sudan;Sri Lanka;Thailand;Venezuela (Bolivarian Republic of)|http://unfccc.int/resource/docs/2012/awglca15/eng/crp09.pdf|EN|On 27 November 2012, the secretariat received a submission from a group of Parties. The secretariat was requested to issue a conference room paper containing this submission. This submission is attached and reproduced in the language in which it was received and without formal editing|Ad Hoc Working Group on Long-Term Cooperative Action under the Convention (AWGLCA), Fifteenth session (second part), 26 November - 7 December 2012, Doha, Qatar|submissions by parties and organizations||financial resources;mitigation;submissions;technology||2012-11-28|2012
http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007100|FCCC-TP-2012-7.pdf|FCCC/TP/2012/7|Slow onset events. Technical paper.|UNFCCC. Secretariat|http://unfccc.int/resource/docs/2012/tp/07.pdf|EN|This technical paper aims to generate a knowledge base on slow onset events and on approaches to address loss and damage associated with the adverse effects of slow onset climate change events in developing countries that are particularly vulnerable to the adverse effects of climate change. The technical paper discusses slow onset events in the context of climate change, identifies and analyses approaches to addressing loss and damage associated with slow onset events and takes into consideration the outcomes of the three regional expert meetings (for Africa, Asia and Eastern Europe, and Latin America) and the expert meeting for small island developing States and draws some observations with regard to gaps, challenges and lessons learned||technical papers||adaptation to climate change;disaster prevention;implementation;sustainable development||2012-11-26|2012
http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007167|FCCC-SBSTA-2012-MISC.21.pdf|FCCC/SBSTA/2012/MISC.21|Outcome of the World Meteorological Congress Extraordinary Session 2012 with respect to the Global Framework for Climate Services implementation. Submission from the World Meteorological Organization.|UNFCCC. Secretariat;World Meteorological Organization (WMO)|http://unfccc.int/resource/docs/2012/sbsta/eng/misc21.pdf|EN|The Subsidiary Body for Scientific and Technological Advice (SBSTA), at its thirty fifth session, recognized that the Global Framework for Climate Services (GFCS) is an important initiative to underpin science-based adaptation and to support countries in meeting the challenges of climate variability and change.1 It invited the World Meteorological Organization (WMO) to provide, at the thirty-seventh session of the SBSTA, information on the outcome of the Extraordinary Session of the WMO Congress that was held in October 2012 with respect to GFCS implementation. The following submission has been received from WMO in response to the above invitation. In accordance with the procedure for miscellaneous documents, this submission is attached and reproduced in the language in which it was received and without formal editing|Subsidiary Body for Scientific and Technological Advice (SBSTA), Thirty-seventh session, 26 November - 1 December 2012, Doha, Qatar|IGO submissions||climate change;intergovernmental organizations;submissions||2012-11-25|2012
http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007091|FCCC-SBI-2012-INF.8-Rev.1.pdf|FCCC/SBI/2012/INF.8/Rev.1|Compilation and synthesis of additional, disaggregated information on the administrative costs of the Adaptation Fund Board. Revised note by the secretariat.|UNFCCC. Secretariat|http://unfccc.int/resource/docs/2012/sbi/eng/inf08r01.pdf|EN|In response to a request made by the Subsidiary Body for Implementation (SBI) at its thirty-sixth session, the secretariat has compiled and synthesized available information, including that in relation to the Least Developed Countries Fund and the Special Climate Change Fund, on the administrative costs of the services of the Global Environment Facility as the interim secretariat of the Adaptation Fund Board (AFB), of the International Bank for Reconstruction and Development (World Bank) acting as an interim trustee for the Adaptation Fund (AF) and of the AFB. The SBI, at its thirty-seventh session, may wish to consider the information contained in this document when discussing the initial review of the AF|Subsidiary Body for Implementation (SBI), Thirty-seventh session, 26 November - 1 December 2012, Doha, Qatar|meeting papers|Adaptation Fund|Adaptation Fund Board;administrative aspects;costs;GEF;LDC Fund;Special Climate Change Fund||2012-11-22|2012
http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007163|FCCC-CP-2012-6-Add.1.pdf|FCCC/CP/2012/6/Add.1|Report of the Global Environment Facility to the Conference of the Parties. Note by the secretariat. Addendum.|UNFCCC. Secretariat|http://unfccc.int/resource/docs/2012/cop18/eng/06a01.pdf|EN|This addendum to document FCCC/CP/2012/6 contains the table on the status of national communications from Parties not included in Annex I to the Convention (see the annex). The table is reproduced here as submitted, without formal editing|Conference of the Parties (COP), Eighteenth session, 26 November - 7 December 2012, Doha, Qatar|meeting papers|Global Environment Facility (GEF)|capacity building;financial mechanism;Green Climate Fund;LDC Fund;mitigation;national communications;non-Annex I;Special Climate Change Fund;technology transfer;trust funds||2012-11-21|2012
http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007164|FCCC-CP-2012-6-Add.2.pdf|FCCC/CP/2012/6/Add.2|Report of the Global Environment Facility to the Conference of the Parties. Note by the secretariat. Addendum.|UNFCCC. Secretariat|http://unfccc.int/resource/docs/2012/cop18/eng/06a02.pdf|EN|At its thirty-sixth session, the Subsidiary Body for Implementation (SBI) invited the Global Environment Facility (GEF) to provide, in its report to the Conference of the Parties at its eighteenth session, detailed, accurate, timely and complete information on its activities relating to the preparation of biennial update reports (BURs), including information on the dates of request and approval of funding, as well as disbursement of funds. This addendum contains the information provided by the GEF secretariat on the status of resources approved by the GEF secretariat for Parties not included in Annex I to the Convention for the preparation of BURs. The information (see the annex) is reproduced here as submitted, without formal editing|Conference of the Parties (COP), Eighteenth session, 26 November - 7 December 2012, Doha, Qatar|meeting papers|Global Environment Facility (GEF)|biennium reports;capacity building;financial mechanism;Green Climate Fund;LDC Fund;mitigation;non-Annex I;Special Climate Change Fund;technology transfer;trust funds||2012-11-21|2012
http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007094|FCCC-SBI-2012-INF.13.pdf|FCCC/SBI/2012/INF.13|Synthesis report on the progress made in the implementation of the least developed countries work programme, including the updating and implementation of national adaptation programmes of action. Note by the secretariat.|UNFCCC. Secretariat|http://unfccc.int/resource/docs/2012/sbi/eng/inf13.pdf|EN|This report synthesizes the information provided by Parties and relevant organizations on the progress made in the implementation of the least developed countries work programme, including the updating and implementation of national adaptation programmes of action (NAPAs). It provides a review of the status of the preparation and implementation of NAPAs, the operation of the Least Developed Countries Fund and the implementation of the elements of the least developed countries work programme other than NAPAs|Subsidiary Body for Implementation (SBI), Thirty-seventh session, 26 November - 1 December 2012, Doha, Qatar|meeting papers|LDC Fund|least developed countries;work programme||2012-11-21|2012
http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007157|FCCC-AWGLCA-2012-CRP.3.pdf|FCCC/AWGLCA/2012/CRP.3|Informal overview text by the Chair.|UNFCCC. Ad hoc Working Group on Long-term Cooperative Action under the Convention (AWG-LCA)|http://unfccc.int/resource/docs/2012/awglca15/eng/crp03.pdf|EN|This informal overview text aims to reflect the exchanges and views, interventions and options presented by Parties in their consideration of the various agenda items of the Ad Hoc Working Group on Long-term Cooperative Action under the Convention (AWGLCA) this year. It builds upon the informal overview note by the Chair made available on 5 September 2012, at the end of the informal additional session of the AWG-LCA held in Bangkok, Thailand. In some areas, the overview text also presents attempts by the Chair to give further structure to the elements under consideration in order to identify a potential way forward. This overview text is made available by the Chair in an effort to facilitate discussions among Parties on the different ideas and proposals presented, with a view to completing the work of the AWG-LCA and reaching the agreed outcome pursuant to decision 1/CP.13|Ad Hoc Working Group on Long-Term Cooperative Action under the Convention (AWGLCA), Fifteenth session (second part), 26 November - 7 December 2012, Doha, Qatar|meeting papers||capacity building;economies in transition;financial resources;mitigation;REDD;science and technology;technology transfer||2012-11-16|2012
http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007160|FCCC-AWGLCA-2012-MISC.8.pdf|FCCC/AWGLCA/2012/MISC.8|Ideas and proposals on the elements contained in paragraph 1 of the Bali Action Plan. Submissions from Parties.|UNFCCC. Secretariat;Algeria;Argentina;Bahrain;Bolivia (Plurinational State of);Brazil;Burkina Faso;China;Cuba;Ecuador;Egypt;El Salvador;India;Iraq;Kuwait;Malaysia;Nicaragua;Pakistan;Saudi Arabia;South Africa;Sudan;Thailand;Uruguay;Venezuela (Bolivarian Republic of);Democratic Republic of the Congo;Dominica;Iran (Islamic Republic of);Mali;Philippines;Sri Lanka;Belarus;Dominican Republic;Honduras;Panama;Indonesia;Thailand;Cyprus;European Commission;European Union;Liberia;Japan;Turkey;United States of America;Zambia;Malawi;African States;Alliances of Small Island States (AOSIS)|http://unfccc.int/resource/docs/2012/awglca15/eng/misc08.pdf|EN|At the first part of the fifteenth session of the Ad Hoc Working Group on Long-term Cooperative Action under the Convention (AWG-LCA), the Chair of the AWG-LCA recalled the open invitation to Parties to provide additional information, views and proposals on all issues under the Bali Action Plan (decision 1/CP.13)1 and invited those Parties planning to make a submission in this context to focus on concrete textual proposals. As at 16 November, the secretariat had received 13 such submissions from Parties. In accordance with the procedure for miscellaneous documents, these submissions are attached and reproduced in the language in which they were received and without formal editing|Ad Hoc Working Group on Long-Term Cooperative Action under the Convention (AWGLCA), Fifteenth session (second part), 26 November - 7 December 2012, Doha, Qatar|submissions by parties and organizations|Bali Action Plan|Annex I Parties;bunker fuels;capacity building;economies in transition;technology;technology transfer;transport||2012-11-16|2012
http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007096|FCCC-SB-2012-3.pdf|FCCC/SB/2012/3|Report of the Adaptation Committee.|UNFCCC. Secretariat|http://unfccc.int/resource/docs/2012/sb/eng/03.pdf|EN|This report covers the work of the Adaptation Committee since its inaugural meeting, held from 7 to 10 September 2012. It contains information on: the nomination and election of its first members and officers, the vision and expectations expressed by the members of the Adaptation Committee during its inaugural meeting, and the implementation of its first mandated activities, including the development of its three-year workplan|Subsidiary Body for Scientific and Technological Advice (SBSTA), Thirty-seventh session, 26 November - 1 December 2012, Doha, Qatar - ~ - Subsidiary Body for Implementation (SBI), Thirty-seventh session, 26 November - 1 December 2012, Doha, Qatar|meeting papers|Adaptation Committee|work programme||2012-11-16|2012
http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007118|FCCC-SBSTA-2012-INF.6.pdf|FCCC/SBSTA/2012/INF.6|Compilation of case studies on national adaptation planning processes. Note by the secretariat.|UNFCCC. Secretariat|http://unfccc.int/resource/docs/2012/sbsta/eng/inf06.pdf|EN|This report contains a compilation of case studies on national adaptation planning processes, including tools and approaches used for the prioritization and implementation of adaptation actions. The report focuses on existing strategies and plans that some countries have developed to adapt to the adverse effects of climate change, including on elements of the prioritization and implementation of adaptation activities. It also provides a synthesis of relevant additional examples of adaptation planning and practices undertaken in other countries, which were reported under the Nairobi work programme on impacts, vulnerability and adaptation to climate change. This report could inform the ongoing process related to national adaptation plans|Subsidiary Body for Scientific and Technological Advice (SBSTA), Thirty-seventh session, 26 November - 1 December 2012, Doha, Qatar|meeting papers|Nairobi work programme|adaptation to climate change;climate impacts;vulnerability||2012-11-09|2012
http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007093|FCCC-SBI-2012-27.pdf|FCCC/SBI/2012/27|Report on the twenty-second meeting of the Least Developed Countries Expert Group. Note by the secretariat.|UNFCCC. Secretariat|http://unfccc.int/resource/docs/2012/sbi/eng/27.pdf|EN|This document reports on the twenty-second meeting of the Least Developed Countries Expert Group (LEG), held in Funafuti, Tuvalu, from 26 to 29 September 2012, and provides an update on the efforts of the LEG to implement its work. It includes a summary of the work of the LEG on the following: technical guidance and support to the national adaptation plan (NAP) process, including the technical guidelines for NAPs and identifying support needs, support for the implementation of national adaptation programmes of action (NAPAs) and the least developed countries (LDC) work programme, and the organization of the regional training workshops on adaptation for the LDCs for 2012-2013. It also includes progress on outreach activities of the LEG, interaction with the Global Environment Facility and its agencies, linkages with other bodies under the Convention and collaboration with other organizations, agencies and regional centres in supporting the LDCs. Furthermore, it elaborates on the interaction of the LEG with the Tuvalu NAPA team|Subsidiary Body for Implementation (SBI), Thirty-seventh session, 26 November - 1 December 2012, Doha, Qatar|meeting papers|LDC Expert Group (LEG)|least developed countries;LEG;technology;work programme||2012-11-07|2012
http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007116|FCCC-KP-CMP-2012-10.pdf|FCCC/KP/CMP/2012/10|Report on the workshops on the process and requirements for the accreditation of national implementing entities for direct access under the Adaptation Fund to the Conference of the Parties serving as the meeting of the Parties to the Kyoto Protocol. Note by the secretariat.|UNFCCC. Secretariat|http://unfccc.int/resource/docs/2012/cmp8/eng/10.pdf|EN|Four workshops on the process and requirements for national implementing entities for direct access under the Adaptation Fund were held in 2011 and 2012 for the African, Latin American and Caribbean, Asian and Eastern European regions and the Pacific subregion. The workshops also included an in-depth explanation of the fiduciary standards of the accreditation process under the Adaptation Fund. This report provides information on the three regional workshops and the one subregional workshop organized by the secretariat. It includes an overview of the proceedings, a summary of the outcomes and a section on issues raised by the participants for further consideration|Conference of the Parties serving as the meeting of the Parties to the Kyoto Protocol (CMP), Eighth session, 26 November - 7 December 2012, Doha, Qatar|meeting papers|Adaptation Fund|accreditation;Adaptation Fund Board;conferences||2012-11-05|2012
http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007085|FCCC-SBI-2012-32.pdf|FCCC/SBI/2012/32|Progress report on the work of the Consultative Group of Experts on National Communications from Parties not included in Annex I to the Convention: report on the hands-on training workshop for the Asia and Pacific region on vulnerability and adaptation assessment. Note by the secretariat.|UNFCCC. Secretariat|http://unfccc.int/resource/docs/2012/sbi/eng/32.pdf|EN|The Consultative Group of Experts on National Communications from Parties not included in Annex I to the Convention (CGE) conducted a hands-on training workshop for the Asia and Pacific region on vulnerability and adaptation assessment in Vientiane, the Lao People's Democratic Republic, from 8 to 12 October 2012. This report outlines the proceedings of the workshop and summarizes the feedback and recommendations from the participants relating to the updated CGE training materials on vulnerability and adaptation assessment, and the financial, technical and institutional issues in the context of national communication preparation.|Subsidiary Body for Implementation (SBI), Thirty-seventh session, 26 November - 1 December 2012, Doha, Qatar|meeting papers|national communications|adaptation assessment;Asia and the Pacific;groups of experts;vulnerability assessment||2012-10-30|2012
http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007117|FCCC-SBSTA-2012-INF.5.pdf|FCCC/SBSTA/2012/INF.5|Progress made in implementing activities under the Nairobi work programme on impacts, vulnerability and adaptation to climate change. Note by the secretariat.|UNFCCC. Secretariat|http://unfccc.int/resource/docs/2012/sbsta/eng/inf05.pdf|EN|This report provides an overview of the progress made in implementing activities under the Nairobi work programme on impacts, vulnerability and adaptation to climate change since the thirty-sixth session of the Subsidiary Body for Scientific and Technological Advice. It describes the continued engagement of organizations, institutions,experts, communities and the private sector in the activities of the Nairobi work programme, as well as examples of collaborative activities between Nairobi work programme partner organizations, Parties and the private sector that are currently being carried out. The report further provides information on the dissemination of outputs produced under the Nairobi work programme. It concludes with a brief overview of mandated next steps|Subsidiary Body for Scientific and Technological Advice (SBSTA), Thirty-seventh session, 26 November - 1 December 2012, Doha, Qatar|meeting papers|Nairobi work programme|adaptation to climate change;climate impacts;vulnerability||2012-10-30|2012
