eventid,url,dates,location,date,text,issue,event
COP 1,http://www.iisd.ca/vol12/1218000e.html,28 March - 7 April 1995,"Berlin, Germany",5 April 1995,"The second round of the ""informal survey"" of delegates on their preference for the physical location of the Permanent Secretariat took place between 6:00 - 7:00 pm. Unlike the first round when 99 out of 114 eligible Parties present at the negotiations participated, only 92 Parties entered Room 5 for the second round. When all the secret ballots were counted, there was still no ""absolute majority"" and Estrada announced that the third round would take place on Wednesday and the choice would be between Bonn and Geneva. The exact time of the third round will be determined by the Bureau on Wednesday morning.",18,First Conference of the Parties to the Framework Convention on Climate Change
COP 1,http://www.iisd.ca/vol12/1219000e.html,28 March - 7 April 1995,"Berlin, Germany",6 April 1995,"Consultations on joint implementation met from Tuesday night until 6:30 am Wednesday morning. With the exception of credits, there appeared to be agreement on most of the text that establishes a JI pilot phase. On Wednesday, small groups of delegates met in the corridors, while trying to avoid video cameras, to forge a compromise. By 7:30 pm, when one developed country delegation said that they were unable to take a final decision until Thursday morning, it became apparent that agreement on JI would have to wait. Meanwhile, consultations on the adequacy of commitments continued. Some participants commented that there has been ""progress"" towards agreeing on a mandate to negotiate or consult on a protocol to be adopted by 1997. The question that remained when the group adjourned at 10:00 pm was just how vague this mandate would be.",19,First Conference of the Parties to the Framework Convention on Climate Change
COP 2,http://www.iisd.ca/vol12/1229000e.html,8-19 July 1996,"Geneva, Switzerland",9 July 1996,"An informal meeting held last week in Frankfurt, sponsored by the government of Germany, formed the basis for closer cooperation between the secretariats of the Convention on Biological Diversity (CBD) and the GEF. According to one participant, relations between the GEF and the CBD are complicated by language in the convention stating that the GEF shall operate under the ""authority"" of the CBD, as well as by the absence of an intersessional mechanism to discuss financial issues (unlike the FCCC). The meeting established a process for consultations between the two bodies in a revised Memorandum of Understanding.",29,Second Conference of the Parties to the Framework Convention on Climate Change
COP 2,http://www.iisd.ca/vol12/1231000e.html,8-19 July 1996,"Geneva, Switzerland",11 July 1996,"At an informal meeting of participants in the Subsidiary Body for Implementation (SBI), Parties agreed to review a Secretariat proposal to raise capital reserves from 8.3% to 15% at COP-3, as well as outstanding questions regarding relocation to Bonn, liaison points in New York and Geneva, and the budget.",31,Second Conference of the Parties to the Framework Convention on Climate Change
COP 2,http://www.iisd.ca/vol12/1232000e.html,8-19 July 1996,"Geneva, Switzerland",12 July 1996,"Observers were heard speculating on the outcome of Thursday night's contact group on the rules of procedure. Some said it could result in an agreement that institutionalizes the status quo, wherein oil-producing states would not receive their own seat on the Bureau but would be assured a regional group seat. Others predicted that some governments were still strongly opposed to this outcome and the group would likely result in a stalemate.",32,Second Conference of the Parties to the Framework Convention on Climate Change
COP 2,http://www.iisd.ca/vol12/1233000e.html,8-19 July 1996,"Geneva, Switzerland",15 July 1996,"NGO reaction varied to news that the Ministerial Round Table will remain closed to observers and the press. Some business NGOs expressed mild concern that the Round Table, which will be opened to all heads of delegations regardless of rank, will result in a de facto Plenary with no opportunity for outside input. Many environmental NGOs said they had not sought entry, in hopes a closed door session would produce tangible progress. Some NGOs of both camps voiced concern on setting a precedent.",33,Second Conference of the Parties to the Framework Convention on Climate Change
COP 2,http://www.iisd.ca/vol12/1237000e.html,8-19 July 1996,"Geneva, Switzerland",19 July 1996,"Two developments at COP-2, the US statement supporting a legally binding agreement to reduce emissions and the Ministerial Declaration, drew several reactions from participants. Regarding the US statement, one delegate expressed concern about the impact of a requirement for tradeable emission permits on a binding agreement. Another delegate mentioned that the AOSIS protocol, and its targets, could be ""dead in the water"". Regarding the Declaration, one observer was surprised at the level of dissent, expressed in heated exchanges between some delegations and the COP officials, minutes before the Plenary was due to note the Declaration.",37,Second Conference of the Parties to the Framework Convention on Climate Change
AGBM 6,http://www.iisd.ca/vol12/1241000e.html,3-7 March 1997,"Bonn, Germany",4 March 1997,"Several AGBM participants commented on developments towards a common position regarding QELROs within one regional economic integration organization. Despite its internal debate on burden sharing, agreement was reached on a common target. Some delegates suggested that this common position could advance the entire AGBM process by sparking a transatlantic debate. In contrast, others characterized the proposed target as ""unrealistic"" and doubted it would be taken seriously. One developing country delegate said the proposal could sharpen AGBM's focus on strengthening developed country commitments, while others noted that the target's timeframe greatly lessens its impact.",41,Sixth Session of the Ad Hoc Group on the Berlin Mandate
AGBM 6,http://www.iisd.ca/vol12/1242000e.html,3-7 March 1997,"Bonn, Germany",5 March 1997,"Several participants provided favorable reviews of the non-group's efforts to fulfill its non-mandate of streamlining the Framework Compilation. One participant reported that the non-group narrowed the options and will submit a revised text to AGBM. Another commented that some delegates appeared unclear on the concept of streamlining and used the meeting as an opportunity to regurgitate lengthy, all too familiar positions.",42,Sixth Session of the Ad Hoc Group on the Berlin Mandate
AGBM 6,http://www.iisd.ca/vol12/1243000e.html,3-7 March 1997,"Bonn, Germany",6 March 1997,"AGBM delegates reported on the progress, or non-progress, of the non-groups. One participant reported that the non-group on advancing existing commitments stalled when participants attempted to cut out anything more than simple duplications in the proposals. Another participant stated that one group of countries opposed even the rearrangement of its proposals. Participants of the non-group on institutions and mechanisms reported that the session agreed on a preamble, definitions, and institutions and processes, but other elements could not be finalized. Another participant said the Chair would still conduct ""technical streamlining"" of outstanding issues.",43,Sixth Session of the Ad Hoc Group on the Berlin Mandate
SB 6 - AG13 5,http://www.iisd.ca/vol12/enb1247e.html,28-31 July 1997,"Bonn, Germany",29 July 1997,"Delegates at an informal budget discussion differed Monday afternoon on the implications of budgetary decisions for AGBM and COP-3 deliberations. Some supported including funds for a possible post-Kyoto process within a proposed contingency budget or even including those funds in the FCCC's core budget, while others said the budget should not prejudge whether coming negotiations will establish such a process. The need for separately listing funds for Annex 1 and non-Annex 1 Parties' implementation was also questioned, but a number of delegations said the distinction in Parties' responsibilities should not be eliminated in the budget. Several delegations also expressed concerns about the apparent increase in staff and overall budget amount compared to 1997 figures and requested further information on these issues from the Secretariat.",47,Sixth Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI)
SB 6 - AG13 5,http://www.iisd.ca/vol12/enb1249e.html,28-31 July 1997,"Bonn, Germany",31 July 1997,"While speakers in SBI were supporting NGO participation in the FCCC, delegates and observers in the corridors were considering the prospect of NGO access during AGBM being limited to participation in Plenary sessions and daily briefings. Most of the negotiations are planned to take place in four closed informal groups. Some noted that exclusion of NGOs is a necessary response to the pressure on the AGBM to deliver results and that the decision may be designed to accelerate substantive negotiations. Some NGO representatives stated that this arrangement hinders the Convention because, given more access to negotiations, NGOs are able to apply positive pressure. Other NGO representatives noted that this is an unwelcome precedent and now puts the onus on governments to inform NGOs of their decisions.",49,Sixth Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI)
AGBM 7,http://www.iisd.ca/vol12/enb1250e.html,28 July - 7 August 1997,"Bonn, Germany",1 August 1997,"NON-GROUP ON ARTICLE 4.1 (COMMITMENTS): In the non-group meeting on Article 4.1, delegates agreed to negotiate on the basis of a paper proposed by Chair Evans King (Trinidad and Tobago). The first four paragraphs of the chapeau were discussed, which refer to advancing the implementation of commitments and the Berlin Mandate. Some non-Annex I countries reportedly sought to include references to the Berlin Mandate along with a number of other elements from the FCCC, including a specific reference to no new non-Annex I commitments, but some Annex I countries objected. Some delegations were reluctant to include a reference to the principle of common but differentiated responsibilities. There were proposals to delete paragraphs that conditioned advancement of commitments by non-Annex I Parties on the provision of financial resources and transfer of technology by developed countries. One developed country put forward an alternative draft paper that would commit Parties to advance implementation of Article 4.1 and to a strengthen collaboration.",50,Seventh Session of the Ad Hoc Group on the Berlin Mandate
AGBM 7,http://www.iisd.ca/vol12/enb1251e.html,28 July - 7 August 1997,"Bonn, Germany",4 August 1997,"An international business NGO used the first briefing for observers to protest the decision to hold negotiations in closed non-groups. Business representatives later indicated that they would be discussing the matter with national governments in the hope of reversing the decision in time for AGBM-8 in October. While conceding the requirement for closed negotiations in the latter stages of the process, business representatives expressed dismay at the decision to go into closed sessions when negotiating positions of countries are well known. An environmental NGO representative indicated that the AGBM decision on access had been anticipated. Nevertheless, there were concerns that a precedent has been set - one that will not go unchallenged when NGOs next meet with the AGBM Chair and Parties. To the suggestion that negotiations might advance with more openness in closed sessions, an NGO representative said there had been no evidence of this to date. With non-groups working to cull down the number of positions in working texts, delegates and observers noted little movement on major issues in AGBM negotiations. Discussions outside the non-groups aimed at developing common positions among groups of countries have begun on such issues as the commitments of non-Annex I countries and the basis and form of emissions reductions. Some stated that progress seems slow for this stage of the process, while others commented that clearly defining options is sufficient at this stage.",51,Seventh Session of the Ad Hoc Group on the Berlin Mandate
AGBM 7,http://www.iisd.ca/vol12/enb1252e.html,28 July - 7 August 1997,"Bonn, Germany",5 August 1997,"During the morning observer briefing, business NGO representatives were unsuccessful in challenging the AGBM Chair to clarify his earlier statement that a number of items for discussion are, strictly speaking, not consistent with the mandate of the AGBM. The Chair declined to comment and said these matters were subject to interpretation. The business lobbyists later indicated that they were concerned about references in AGBM documentation to discussion topics on evolution and the possible impacts on developing countries of new commitments, and wondered what precise instructions had been given to non-group chairs for dealing with such issues. While some delegates and observers are giving increasing attention to the impact on employment of potential AGBM outcomes, a number of environmental NGOs have argued that the issue is being manipulated to frighten political constituencies in developed countries. They believe that the success of the strategy has driven some developed Party views on the need to bring developing countries on board the Berlin Mandate process sooner rather than later -- and avoid the alleged economic consequences of unilteral commitments by Annex I countries.",52,Seventh Session of the Ad Hoc Group on the Berlin Mandate
AGBM 7,http://www.iisd.ca/vol12/enb1253e.html,28 July - 7 August 1997,"Bonn, Germany",6 August 1997,"Delegates say that the brief discussions of joint implementation during SBSTA and SBI on Tuesday, point to abiding sensitivities between Annex I and non-Annex I Parties over implementation and potential future commitments. Wary of exploring JI before completing the pilot phase of activities implemented jointly (AIJ) between developed and developing countries, a number of developing country delegates say that opening the issue in the subsidiary bodies could establish it as an issue in future AGBM negotiations, a result they oppose. They also want to ensure that language on ""returning individually or jointly"" to earlier emissions levels applies only to Annex I Parties. Developed countries supporting JI say that it is an appropriate element of future commitments that should be pursued in current negotiations. Although text on JI is being examined in contact groups, this week's decisions are not expected to resolve differences on the issue.",53,Seventh Session of the Ad Hoc Group on the Berlin Mandate
AGBM 7,http://www.iisd.ca/vol12/enb1254e.html,28 July - 7 August 1997,"Bonn, Germany",7 August 1997,"Wednesday's observer briefing ended with the AGBM Chair's comments that the trend of discussion at the extended Bureau meeting was to apply only the FCCC's objective to a Protocol. Within minutes of the announcement, reports of counter trends emerged from some of the interested players who had participated in the Bureau meeting. Some said that a decision to limit the Protocol's objective to that set out in the FCCC could have implications for those proposals from regional groups and other Parties that stipulate or propose the development of formulae for setting a ceiling on GHG emissions based, for example, on sea level and temperature rises. Chair Estrada has, reportedly, argued that the introduction of a new objective may cause confusion. A number of the interested Parties suggested that the matter had not been resolved, and proposals containing new objectives would stay on the table at the AGBM. One regional representative said ""we have not given up."" They marked Estrada's announcement down to ""forceful chairmanship"" and suggested that he was somewhat ahead of the Parties in his reading of Tuesday's meeting. Some also conceded that, in principle, it would be advisable to restrict the introduction of new objectives but arguments would be made for an exception nonetheless. Others said that using the same FCCC overall objective would still leave room to incorporate proposed new objectives, perhaps within the section on emissions limitations and reduction objectives. An interested Party has reportedly been tasked to conduct consultations in an effort to merge the new proposals.",54,Seventh Session of the Ad Hoc Group on the Berlin Mandate
SB 7,http://www.iisd.ca/vol12/enb1258e.html,20-31 October 1997,"Bonn, Germany",22 October 1997,"Great expectations filled the corridors as participants in Bonn looked forward to an announcement Wednesday by US President Bill Clinton, signaling his administration's opening bid in the negotiation of a binding target for the AGBM. There was some agreement that President Clinton has already succeeded in installing a significant amount of political insulation to protect himself from detractors - whether from the environmental or industry lobbies. The President has worked hard and fast to create a climate of opinion in which both the press and the public in the US have warmed to the idea of an international agreement. At the same time his administration has successfully dampened expectations among environmentalists by circulating memos and options which suggest that anything beyond stabilization targets will represent a gain - not least by the President himself. Meanwhile, the G-77/CHINA reached agreement on its counterbid. The Group is expected to propose gas-by-gas reduction targets for three periods beginning in 2010.",58,Seventh Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI) Eighth Session of the Ad Hoc Group on the Berlin Mandate
SB 7,http://www.iisd.ca/vol12/enb1259e.html,20-31 October 1997,"Bonn, Germany",23 October 1997,"Suspense over the long-awaited position of the US ended with President Clinton's announcement a few hours after Wednesday's meeting. He called for stabilization of GHG emissions at 1990 levels by 2008-2012 and reducing emissions after that. He also called upon developing countries to participate in a meaningful way. Even prior to the announcement, delegates could be heard criticizing elements of the proposal in the corridors. Some were later heard criticizing it on the air on CNN.",59,Seventh Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI) Eighth Session of the Ad Hoc Group on the Berlin Mandate
SB 7,http://www.iisd.ca/vol12/enb1260e.html,20-31 October 1997,"Bonn, Germany",23 October 1997,"Reactions to the US positions were the order of the day in the corridors. Some ""disappointed"" EU delegates agreed with many of the facts underlying the US position, but said these facts were not properly reflected in the proposed targets. Recalling that the IPCC science calls for early action and indicates the need for significant reductions below 1990 levels, many said the US target, which is even lower than Japan's ""inadequate"" target, is a ""long way"" from this and intensive dialogue with all Parties was needed. Some developing countries delegates were not surprised by the US position and said the G-77/China proposal was intended to counter-balance it. One developing country observer noted that the US, in promoting its containment policies, has played several unilateral cards worldwide as of late and speculated that inflexibility in this forum could lead to failure. Another said that no protocol is better than a protocol with new developing country commitments. Environmental NGOs have begun preparing their strategic response, determined to 'salvage' the AGBM process and ensure that a reported 'celebration' by the business lobby on Wednesday evening was premature. Given the high-level nature of the US announcement, NGOs will focus their efforts on attempts to convince other Heads of State, such as British Prime Minister Blair and Germany's Chancellor Kohl to engage the White House. Japan will also face intense lobbying, as some NGOs have suggested that the host government for COP-3 had paved the way for the US announcement with its own 'extremist' position. The AGBM process is set to continue along parallel negotiating tracks, with 'megaphone diplomacy' punctuating the formal talks in Bonn and beyond. One NGO speaker underlined his colleagues' determination to pursue the negotiators to the bitter end in December, with the thought that 'it's not over 'til the fat lady sings.'",60,Seventh Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI) Eighth Session of the Ad Hoc Group on the Berlin Mandate
SB 7,http://www.iisd.ca/vol12/enb1262e.html,20-31 October 1997,"Bonn, Germany",28 October 1997,"Under pressure of time and, in some cases under fire, some negotiators are reporting an increasingly fraught atmosphere in Bonn. ""Between a rock and a hard place"" was how one participant summed up the position of negotiators bound by and unable to draw back from highly publicized negotiating positions. Suspicions about obstruction and splitting tactics are being quietly aired. The only clear target to emerge thus far has been the US position, which has been fired on from all sides.",62,Seventh Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI) Eighth Session of the Ad Hoc Group on the Berlin Mandate
SB 7,http://www.iisd.ca/vol12/enb1263e.html,20-31 October 1997,"Bonn, Germany",29 October 1997,"As negotiations in two non-groups wrapped up their work with few agreements, the only statement gaining consensus in the corridors appeared to be ""send it to Kyoto."" Delegates and observers have reported that negotiators in Bonn are unable, unwilling or without political authority to push major issues beyond the steady and longstanding disagreements that have characterized AGBM-8. Some delegates said it was difficult to expect more at this stage, but others worried that some new strategy was needed to salvage greater progress before the climate negotiations leave town.",63,Seventh Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI) Eighth Session of the Ad Hoc Group on the Berlin Mandate
SB 7,http://www.iisd.ca/vol12/enb1264e.html,20-31 October 1997,"Bonn, Germany",30 October 1997,"Norway chaired a contact group on Article 10, on commitments undertaken voluntarily. Opponents of the Article continued to seek its deletion from the AGBM's negotiating text. Those in favor argued that the content represents an essential element of a protocol and a number of amendments were introduced. These were designed to clarify the requirements for consideration of requests to be bound by the Article and a mechanism to oversee policies and measures for those countries undertaking commitments voluntarily. A number of developing countries continued to state their opposition. A contact group involving the US and the EU met to discuss their positions on emissions trading (Article 5). The fate of this issue together with joint implementation and credits continues to be linked to the outcome of negotiations on QELROs.",64,Seventh Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI) Eighth Session of the Ad Hoc Group on the Berlin Mandate
COP 3,http://www.iisd.ca/vol12/enb1267e.html,1-11 December 1997,"Kyoto, Japan",1 December 1997,"The AGBM Chair, Raul Estrada, is expected to take over the task of chairing the QELROs working group during COP-3. The new role - together with his job of chairing the COW - will put Estrada in a key position to pursue his proactive approach to the negotiations and bring his influence to bear on the high level negotiations expected at the end of COP-3. At Sunday's resumed AGBM meeting, Estrada demonstrated his ability to send clear signals to Parties pursing demands of others whose demands he views as unsustainable. Drawing attention to a document he commissioned on developing country efforts to address climate change, he called on those developed countries that have not fulfilled their existing commitments to take note.",67,Third Conference of the Parties to the Framework Convention on Climate Change
COP 3,http://www.iisd.ca/vol12/enb1268e.html,1-11 December 1997,"Kyoto, Japan",2 December 1997,"The US delegation reportedly surprised the EU, not to mention a number of observers, with a call for a working group to look more closely at differentiation, including Russia's proposal, sometimes known as the ""big bubble."" The US statement raised the prospect that a variation of ""big bubble"" could surface in the QELROs negotiations. While some observers view the development as a possible ""way out"" for the US, permitting each party to choose its own reduction target, it is thought to be too early to judge the overall significance of this development. As it stands, the Russian formulation would transform the EU 15 percent reduction into a unilateral pledge, something the Europeans are expected to resist. Some participants predict that the EU may have to give some ground on differentiation.",68,Third Conference of the Parties to the Framework Convention on Climate Change
COP 3,http://www.iisd.ca/vol12/enb1269e.html,1-11 December 1997,"Kyoto, Japan",3 December 1997,"Observers noted increasing efforts by the United States and others to attack the European Union's positions, particularly on QELROs and the ""bubble."" The aggressive tone was joined in the corridors by comments that the EU could not sustain a 15 percent target were it not for large emissions reductions unmotivated by climate change concerns and its refusal so far to address all gases. EU representatives called the critique of the bubble ""a tactic,"" but some NGOs said the vehemence of the criticisms compelled them to come to the EU's defense because, they said, the EU wasn't defending itself. Some observers suggested that a greater threat to the EU's coordination of a group position may be ongoing informal courtship of some EU members by proponents of competing QELROs proposals. A day after the US' expression of interest in differentiation, this hurdle to an agreement may be receding in discussions within the QELROs group. Some participants say that a narrow band of differentiation could make deeper cuts palatable for some countries, resulting in a greater aggregate reduction in global emissions than otherwise possible. Others would be satisfied if it at least makes it possible to reach an agreement that all countries can live with. Some participants worried, however, about the impact of an agreement based on differentiated targets. Pleas were heard that differentiation not become a loophole, as was the fear that providing a ""floor to ceiling"" range would encourage countries to head for the floor. News that Al Gore is to fly into Kyoto Sunday was greeted with speculation about the significance of the Vice President's attendance for the US negotiating position. Optimists were quick to suggest that Gore would be unlikely to attend the COP only to defend the current US target for stabilisation at 1990 levels. Instead, they argued, the visit suggested he might preside over an improved offer on GHG reduction targets. Noting that Gore would spend only eight hours in Kyoto, an NGO observer said she did not believe the Vice President would negotiate.",69,Third Conference of the Parties to the Framework Convention on Climate Change
COP 3,http://www.iisd.ca/vol12/enb1270e.html,1-11 December 1997,"Kyoto, Japan",4 December 1997,"Formulae for differentiation have begun to proliferate, with at least two suggestions that would form a number of groups or categories among Annex I parties. A Japanese delegate said Japan's proposal for three categories is under active consideration. The proposers have, however, distanced themselves from suggestions that their proposal would set a reduction target for the US at 3.5 % and for the EU at 7.5 %. The EU has indicated that it will not settle for a higher target than the US. The EU's position on differentiation is that Parties should follow the EU ""bubble"" example and form burden sharing groups. For example, a number of EU spokespersons have suggested that the US could join its NAFTA partners. The US has not yet detailed its preferred approach to differentiation.",70,Third Conference of the Parties to the Framework Convention on Climate Change
COP 3,http://www.iisd.ca/vol12/enb1271e.html,1-11 December 1997,"Kyoto, Japan",5 December 1997,"A number of the key elements in a final agreement are the subject of bilateral and multilateral contacts on the fringes of the negotiation. One important example is the bilateral contact between the US and Brazil to discuss the fate of the proposed clean development fund. Observers believe that the US has come to view the initiative as the key to a neat fix, linking a number of their interests, including emissions trading, and engaging some developing countries in meaningful participation with the promise of generating funds for technology. Asked about the US interest in the clean development fund, an EU representative warned that multiple loopholes would render targets meaningless.",71,Third Conference of the Parties to the Framework Convention on Climate Change
COP 3,http://www.iisd.ca/vol12/enb1272e.html,1-11 December 1997,"Kyoto, Japan",6 December 1997,"During and after the marathon of reactions in Plenary Friday, delegates and observers pondered possible strategic implications of the New Zealand proposal on new developing country commitments. Some felt the proposal needed to be aired, sooner rather than later. Others saw the proposal as disruptive, provoking tension and resistance avoidable at this delicate stage. Still others wondered whether the proposal might have been placed to cast discussion of voluntary non-Annex I commitments in a comparatively favorable light. An authoritative observer suggested that the presentation's greatest problem might have been in contradicting its own sequential premise: that a clear picture of Annex I QELROs must emerge before a sober consideration of developing country commitments.",72,Third Conference of the Parties to the Framework Convention on Climate Change
COP 3,http://www.iisd.ca/vol12/enb1274e.html,1-11 December 1997,"Kyoto, Japan",9 December 1997,"Pressure is building on Annex I countries to deliver their target numbers for QELROs as negotiations go to the wire. Tensions emerged at a meeting of the newly formed extended Bureau Monday - a meeting of delegates and ministers described by one participant as a ""poker game"" where only half the players are in on the final deal. Developing country Parties had reportedly lost patience with industrialized countries determined to bring home a final package without consulting their ""significant others"" from the G-77/CHINA, now represented on the extended Bureau. This despite the expectation that after this complex endgame a number of key G-77 players are expected to participate meaningfully, having calculated their potential gains from incentives offered. So far, though, the only number coming out of the negotiations is Chair Estrada's 3 o'clock QELROs deadline.",74,Third Conference of the Parties to the Framework Convention on Climate Change
