id,contact_country,sub_category,acronym,name,main_category,cost_min,cost_max,cost_absolute,fte,code,status,accredited
fecde2aeabb843f4a8a55a4b3b92de50,155,21,HW,Hanze Wetlands,2,,,0,1.75,200438718349-72,active,
fec76a9f6e224986b3edb9b89e8afad3,21,31,WFTO-Europe,World Fair Trade Organization - Europe,3,10000,24999,,0.5,725848610338-68,active,
fec607c127414c259cbf2f7f86eb041c,215,25,WBCSD,World Business Council For Sustainable Development,2,,9999,,0.25,074000219282-17,active,
feac8ce68d3142848d501f1bf11bf46a,59,25,DEA,Danish Energy Association / Dansk Energi,2,100000,199999,,2,1733114388-50,active,5
fea393c1edda4541847f16497b8d35a8,233,25,ENA,Energy Networks Association,2,25000,49999,,1,247299118284-24,active,
fe9fe7b4dca6445292d9b4f9b3cdd91d,75,21,,RED TECHNOLOGIES,2,50000,99999,,0.5,482800716017-35,active,
fe91bcd9aa314020becd891956750847,82,21,TAG,Testo AG,2,,,1000000,4.75,574221616354-31,active,
fe7ec728dc594cb0a9db1d19e71929bf,155,25,KVNR,Royal Association Netherlands Shipowners,2,,9999,,1,05693918534-87,active,
fe74d1ef246942bb87645f304aa0f015,82,25,EDFA,Verband der Europäischen Bettfedern- und Bettwarenindustrie e.V.,2,,,20000,0.25,08235168608-91,active,
fe684917467046d28a16eb692c077bb7,111,41,,The Tokyo Foundation,4,,9999,,0.25,536137916397-69,active,
fe5e9e24ed1d46ee97983b4c73b8da82,82,31,bvek,Bundesverband Emissionshandel und Klimaschutz,3,,9999,,0.75,631166016389-36,active,
fe5d647f6ea046aebc17870da1470dc3,59,11,,RING Advocacy ApS,1,,,,1,277619815968-37,,
fe42e9077115493bae6733449a5edd5c,155,11,,Climate Focus B.V.,1,10000,24999,,3.5,800657011805-43,active,
fe3ce62c8eb448d6a65ac2276daafa04,75,31,OPTITEC,Pôle de compétitivité OPTITEC,3,,9999,,1.25,311494314092-17,active,1
fe3abac510b24504a4648ed1517d8b40,14,21,ÖBB,ÖBB-Holding AG,2,1250000,1499999,,1.5,36636102190-34,active,1
fe31a9470e1f47e08c660e5d822deed2,176,13,Rafał Warzecha,Rafał Konrad Warzecha,1,,9999,,1,585671717899-63,active,
fe2d67ac11ff4daaa631ad04746bcc2b,21,31,YFCS,Young Friends of the Countryside,3,,9999,,2,26831242561-76,active,
fe2a76a24567472a9630507033a2c982,21,31,EeSA,European e-Skills Association,3,,9999,,0.5,416562915447-63,active,
fe1c274da1fd4c59ad69547b022b7adb,82,26,,Bund Deutscher Landschaftsarchitekten Landesgruppe Nordrhein-WEstfalen e.V.,2,,,200,0.25,454880818315-25,active,
fe1b8d2b05bf4d8f87c8bcb3b36ae1ec,233,13,Chris Davies,Chris Davies Ltd,1,,,,1,881015115113-40,,
fe1488fa75c548eaba722b6e61b9d1f0,209,41,AITEX,ASOCIACIÓN DE INVESTIGACIÓN DE LA INDUSTRIA TEXTIL,4,,9999,,0.25,55761276864-04,active,
fe13daa5d3d448edb63b8c285965fbdf,209,21,ACF,A CONTRACORRIENTE FILMS SL,2,,9999,,0.25,770887918765-28,active,
fe08b99892c0411aa29012b561596ce4,108,41,CSC,FONDAZIONE CENTRO SPERIMENTALE DI CINEMATOGRAFIA,4,,9999,,0.25,322755913215-82,active,
fe0559faf2494de08bbc429d2e41e1ad,233,25,ORA,Oil Recycling Association,2,,,150000,1,756958918509-95,active,
fdfc986ebb3647c3ab30360671f6b7ef,21,25,Eurovent,European Committee of Air Handling and Refrigeration Equipment Industries,2,100000,199999,,1.25,89424237848-89,active,
fdf090a61da64bca8ac790ce1f7efe03,21,25,EUF,EU Federation for the Factoring and Commercial Finance Industry,2,100000,199999,,1.5,39275004756-35,active,
fdedb3955091443fa790a6897b9e94f8,75,26,CFDT,Confédération Française Démocratique du Travail,2,200000,299999,,10.75,584162614015-63,active,
fde858e230ca48468456340148eff3cb,82,21,M-net,M-net Telekommunikations GmbH,2,25000,49999,,0.5,773302419738-13,active,
fde26601135a4826b171fa06d2bd1f57,21,25,ESSA,European Salmon Smokers Association,2,,9999,,0.25,874084216961-91,active,
fdd6215deb17408e993c629f726cba4c,177,11,GW,Guess What,1,,9999,,1.5,514234715663-46,active,3
fdd170bcf4ec460fba3eb8600738d02f,75,31,FED,FEDERATION ENVIRONNEMENT DURABLE,3,,9999,,36.75,341668712648-90,active,
fdc7e4f6f16746ae9c9a73ecc9c6e3be,135,11,EMD,EMD Advisory Services,1,,9999,,0.25,485329315341-81,active,
fdc085799444413298c0e7114650b154,75,27,ETSI,European Telecommunications Standards Institute,2,1000000,1249999,,3.5,474710916419-15,active,1
fd9dd06bb7c0494181995b85a0fcf08e,233,31,CHEM Trust,"Chemicals, Health and Environment Monitoring Trust",3,100000,199999,,2.75,27053044762-72,active,
fd9b3f0c52df40d8a2449cec1f314b9b,75,21,RC,rémy cointreau,2,100000,199999,,2.25,762069819955-91,active,
fd84ff760e074f0e963a2b1a21520b7d,21,25,CEDIVI,Confederation Europeenne de Distilleries Vinicoles,2,,9999,,1.75,77387528902-68,active,
fd83937661e348a89b8c0689fc1b14fe,209,21,alegria activity,"ALEGRIA ACTIVITY, SL",2,,9999,,0.25,141017519874-72,active,
fd7597ad838c490d811ef017be63f031,209,25,CEOE-Tenerife,Confederación Provincial de Empresarios de Santa Cruz de Tenerife,2,,9999,,1,947705513967-41,active,
fd6e1c41ce7341fd9fc679b98fccdeea,108,27,,GAP CONSULTING APS,2,,,,0.75,652622817512-93,,
fd6606a4c29741a5a2f3da573bdaaf78,82,25,APM,Aktionskreis gegen Produkt- und Markenpiraterie e.V.,2,,9999,,0.75,95445515567-57,active,
fd645466b3884140968d960b9cf20be1,214,21,Systembolaget,Systembolaget Aktiebolag,2,,9999,,1.5,584392118899-17,active,
fd4fd87bf6894473905828b231b6cbcc,82,21,SICK,SICK AG,2,,9999,,0.25,27481463425-10,active,
fd4a97391d2440a9a96ebe7b9fc93a8c,82,21,,INEOS Phenol,2,,,,0.25,450434514710-52,,
fd3cf9a22ca34bad82e84c8187ddbe92,82,26,tekom Europe,European Association for Technical Communication - tekom Europe e.V.,2,,9999,,0.5,194995512904-93,active,
fd3b1573eacf454a87792263b2697e0a,21,25,CPME,Standing Committee of European Doctors,2,25000,49999,,5.5,9276943405-41,active,6
fd308e92c4ea4d9080c716fab51f1069,75,21,,ROSATOM FRANCE,2,,,,0.25,114465516906-25,,
fd2f0a6a2d8c4eee9ec579c743f20461,59,25,,Campingrådet,2,,9999,,0.25,769093619298-21,active,
fd24d5c9893c408a9fdd61ddd1cce5ff,214,31,RSAS,The Royal Swedish Academy of Sciences,3,,9999,,0.25,744827611137-47,active,
fd20277cd9884122905db513ffaea53e,14,25,VÖZ,Verband Österreichischer Ziegelwerke,2,,9999,,0.25,57762696918-41,active,
fd1ff15137a54be4b70591902ed97733,155,25,BNA,Koninklijke maatschappij tot bevordering der Bouwkunst/Bond van Nederlandse Architecten,2,,9999,,0.5,471786817466-47,active,
fd13a7f1123a4ef08a2a5d920f219d0b,39,11,,Minoils Media Ltd.,1,25000,49999,,2.25,609871517238-89,active,
fd12e1b910f34e8abbbb4c58e50b517c,85,31,,DORIKI ADELFOTIS,3,,9999,,0.5,281091512656-64,active,
fcf34eadd9e2497b96cf4d2e9038b028,21,27,APEDEF,ASSOCIATION POUR L'EGALITE ET LE DEVELOPPEMENT DES FEMMES,2,,,,9.25,782556317989-55,,
fcce98d5e8604c2d98bffb8dbc5a7f64,21,42,,Diplomatic Corps Institute,4,10000,24999,,0.5,618611119476-69,active,
fcce76fbaf8649d8b61c745179ad8704,82,21,airberlin,Air Berlin PLC & Co. Luftverkehrs KG,2,,9999,,1.5,60772936647-87,active,3
fccabf77a72f4d5db85f991f320a6fbc,21,25,EHPM,European Federation of Associations of Health Product Manufacturers,2,200000,299999,,1.25,65512466920-96,active,3
fcbb55ef1f3f48ed88b8cfead45ab2f9,108,31,NRPTT,Nonviolent Radical Party Transnational Transparty,3,,9999,,5,88206897526-65,active,
fcb79412dc4c4e83a4a1112983415474,21,27,,OPPORTUNITY ASBL,2,,9999,,1.25,204833515454-79,active,3
fcb32875dc104f6bb098c3c1fd93d782,82,31,GzSdW,Gesellschaft zum Schutz der Wölfe e.V.,3,50000,99999,,1.25,513476017477-16,active,
fcb180cc9da243df99049eb0f5d518a7,108,13,,Romeo D'Amicis,1,,9999,,1,161660111450-12,active,1
fca6c5689b8946e387a62507eb10144b,21,26,FSE,Food Supplements Europe,2,300000,399999,,1.5,638153011554-79,active,1
fca6174951ec4612959c0ff8e1c35684,180,66,VULCAN,PRIMARIA MUNICIPIULUI VULCAN,6,,,1,4.5,811627017457-19,active,
fc884edd4dc74d8baea54410760fd539,21,25,BIR,Bureau of International Recycling,2,,,40000,0.25,153973318978-42,active,
fc7d40d67c7940e1bd5459e3d02ac326,59,31,NOAH,Miljøbevægelsen NOAH,3,,9999,,3,927189614844-23,active,
fc7d2afb2a4845d6ab1e3ffddc18deb1,177,25,COTEC Portugal,COTEC Portugal - Associação Empresarial para a Inovação,2,,9999,,0.25,407907815494-03,active,
fc7badc811a34f95a711384e662a5bda,108,25,ISCOM E.R.,ISTITUTO PER LO SVILUPPO DEL COMMERCIO E DEL TURISMO DELL'EMILIA ROMAGNA - ISCOM EMILIA ROMAGNA,2,,,,2.5,670401512410-22,,
fc7b922c933843b6835e9377c64070c2,180,31,IPP,Association Institute for Public Policy,3,,,0,6,281557915875-49,active,
fc7b64756e014b01896c9fb598b782c2,209,31,CRMH da Coruña,Comisión pola Recuperación da Memoria Histórica da Coruña,3,,9999,,0.25,448183615209-79,active,
fc739586bf124024bc44e31856cf0df7,215,21,Technocorp,Technocorp Holding S.A,2,300000,399999,,2,46746029335-56,active,
fc726faa91d94d7881ebfca499d96416,59,25,EuFiAs,European Fireworks Association,2,,9999,,0.5,385681513907-81,active,
fc6ba4bc05754730b435e3ad248475ae,233,31,PRI,Penal Reform International,3,,9999,,21.5,52399878813-67,active,
fc6b3c1439ce49c2bf79caadf464c59e,82,31,,"Verband binationaler Familien und Partnerschaften, iaf e.V.",3,,9999,,3,843045413763-82,active,
fc6b1e1538364133b3bb41fc0326be9e,75,21,,TourCom,2,25000,49999,,0.25,13240573171-36,active,
fc6346ef2236492cb1d062959099ee7d,209,31,,Ecologistas en Accion,3,,9999,,1,64628738622-42,active,
fc60baf313354e3c9101f076789b3958,104,31,ACHD,AlSa'a Center For Human Development,3,,,3000,45,102337017478-08,active,
fc5a1dc90ec540f9aeef3ffaebc957dc,28,31,SEE Change Net,The South-East Europe Change Net Foundation (Fondacija Mreža za promjene Jugoistočne Evrope),3,,9999,,0.75,920254612199-27,active,
fc5941f8a1124f1b90b5fd6bb5b410af,74,31,DIF,Directors' Institute of Finland / Hallitusammattilaiset ry,3,,,200000,2,79238116273-93,active,
fc28d0d32ec74e9c95186f81257361b9,21,25,KBA EUROPE AISBL,KBA (Korea Business Association) Europe AISBL,2,,9999,,2.25,14966899031-34,active,
fc268fb8cbec4941aaf1e260a19267f8,108,31,A4M,Alliance for Materials,3,,9999,,0.5,987524615061-07,active,
fc25c0d0efb7411d8ab3cef82bac7f5a,82,25,BGL,"Bundesverband Garten-, Landschafts- und Sportplatzbau e.V.",2,50000,99999,,1.75,371194117099-35,active,
fc13ffa971da4d8ca49c548882488f45,57,63,,ΔΗΜΟΣ ΠΟΛΗΣ ΧΡΥΣΟΧΟΥΣ,6,,,,0.25,864608818254-29,,
fc05945e317047d0a18a182d6bc6d8c1,21,25,FTTH Council Europe,FTTH Council Europe ASBL,2,50000,99999,,1.25,09838612482-61,active,
fc02b3f7042040c9abc8aa4a0c0d7e0e,127,31,EuroCOP,European Confederation of Police,3,,,30000,1.75,066424813599-73,active,
fc020601f6514a58a9bc6c149257f1ae,21,25,EGFATT,Association européenne des Fonds de Garantie Voyages,2,,,12000,0.5,881983612196-94,active,
fbfee270ec0e4ecbb1a11005f693aec5,82,27,,VG Media GmbH,2,25000,49999,,1,956860819001-30,active,
fbfe4a05a027406aaed19351dfda40d1,75,31,,Intercéréales,3,,9999,,0.25,921172519144-83,active,
fbe99945584e47a690c6fd459d72f758,82,31,TGEU,Transgender Europe,3,50000,99999,,2,384028912403-82,active,1
fbe15799099844b9bcff608640c5e6be,233,31,AE,Academia Europaea [The Academy of Europe],3,500000,599999,,1.5,527075517960-15,active,
fbdaa9237ee647558f24dfb262243544,127,11,,INTRASOFT International,1,10000000,,,500,675000817157-42,active,
fbd0765bb3564388a5bfdf8666499879,165,21,,ECOHZ AS,2,,9999,,0.25,084019910467-43,active,
fbc9d4a08e4a461e9a9ea68d487ffaab,21,25,CheMI,European Platform for Chemicals Using Manufacturing Industries,2,,,0,0.25,744688015518-46,active,
fbc58052f1f645468bc8938c1fa3e79a,233,31,CSW,Christian Solidarity Worldwide,3,,9999,,1.5,47642067220-88,active,2
fbc29682552c46baaec8e55e3361e90b,21,31,,European Coalition for Corporate Justice,3,,,57130,1,48872621093-60,active,2
fbbac123041f4f17af8c26750d53f67d,54,31,UPS,Udruga poreznih stručnjaka,3,,9999,,1.25,40803589402-63,active,
fbb47776c40d454b9962f373a306bf41,74,21,,Proventia Emission Control,2,,9999,,0.25,826561117948-50,active,
fbb1ed6a73b94d30a5a6ba070ed51cde,82,31,LBV-NU,LBV-Kreisgruppe Neu-Ulm,3,10000,24999,,3,907307117252-34,active,
fbb09de043ea40cbb9a13d83a9419737,108,12,,avv. Davide Maresca,1,,9999,,0.25,496369713681-55,active,
fb9ec5882645424aa87a7ba12fb25a3e,209,21,,"Banco Santander, S.A.",2,600000,699999,,6.75,799142914971-03,active,2
fb97603952d940eb9c80d1327730ec73,102,42,UIPM,UNIVERSAL INSTITUTE OF PROFESSIONAL MANAGEMENT,4,,,,10,246305218761-15,,
fb95c7b809a64003bd6ff176e5d319fa,21,27,UKRO,UK Research Office,2,,9999,,10,651161710834-02,active,10
fb9296ad532a460ab4382ce064be4271,155,21,,Brown-Forman,2,200000,299999,,0.25,220015616134-02,active,
fb8c23f3d01a4454a1b606057c2b4571,231,31,AntAC,Anti-corruption Action Centre,3,,,181345,7.5,170729816699-44,active,
fb8b567ab26147dd900bb43714db3465,155,41,ESTIV,European Society of Toxicology In Vitro,4,,9999,,1.25,279517211643-71,active,
fb880a09da624f95b49723b25f0acef2,234,31,HRW,Human Rights Watch,3,400000,499999,,3,56362448807-46,active,1
fb84f656bad74cec87fb2e6fff09c9ac,101,31,ICSF-CIAPA,International Collective in Support of Fishworkers,3,,9999,,0.25,74122702544-39,active,
fb8277244ec74ba190d3e48a58e2080a,21,27,CEN,European Committee for Standardization,2,100000,199999,,1.75,63623305522-13,active,
fb6b321c65324fdb8359d43606732525,233,11,KTN Ltd,Knowledge Transfer Network Limited,1,,,,130,501143517663-77,,
fb6425c3d98b4ef89919aec0a10de15a,21,26,UEMS OMS,Union Européenne des Médecins Specialistes Ocuupational Medecine Section,2,,,5000,0.5,767381519628-85,active,
fb552fcad84e431e91adb4b93384b20d,21,31,R.I.D.D,Reseau International pour le Développement Durable,3,,,,4,381772017874-83,,
fb50af12ef8743e59307051c41964848,82,21,Avira,Avira GmbH & Co. KG,2,10000000,,,0.5,578837820258-63,active,
fb459f5eb2f0448598df908f509cbe97,234,21,,"Akamai Technologies, Inc.",2,,9999,,0.25,756663618867-82,active,
fb2e0e2c7126427da5a584084617527c,82,25,EWIMA,European Writing Instrument Manufacturer's Association,2,,,2000,0.25,8203543301-90,active,
fb2d75c2af6b4ef382070adecb14c25c,107,31,IAJLJ,The International Association of Jewish Lawyers and Jurists,3,,9999,,0.5,540966014206-39,active,1
fb23f574f5744b9491ab4e97467a048b,21,21,Federplast.be,Belgische vereniging van producenten van kunststof- en rubberartikelen,2,,9999,,3,11490478042-81,active,
fb1c3055e3e44036ad33f70184ed45b2,75,41,CNRS,Centre National de la Recherche Scientifique,4,,9999,,3.5,787054318177-33,active,
fb18bb5dd1864bb58b78887e26ceb35b,82,31,UnternehmensGrün,"UnternehmensGrün e.V., Bundesverband der grünen Wirtschaft",3,,9999,,0.25,066681919451-60,active,
fb0cb172609c44e088f95552a92b0146,177,21,HF,Horários do Funchal,2,,9999,,0.25,613153116949-12,active,
faf0e7b5a1e54b3f9d76e0a9b0284bbe,99,21,Daikin HU,Daikin Hungary Kft.,2,,9999,,0.25,622643217609-15,active,
fae5d30cd9a64891ac63c866e2356aa5,82,27,APWPT,Association of Professional Wireless Production Technologies,2,,,16000,0.25,584593612590-66,active,
fae320b34ab04edd84f1125c3e5d351c,234,25,,Pharmaceutical Research and Manufacturers of America,2,400000,499999,,0.25,240621419981-72,active,
fae17b96dfc54aa3b37de74921a489ff,233,64,Ofgem,Office of Gas and Electricity Markets,6,,9999,,15,89437226792-42,active,5
fadf19e74b2f4dc9951adab08c068888,209,21,,PUERTO DE CELEIRO S.A.,2,,,26000,0.75,47496301020-09,active,
fadd8c89a0ba4e018b907c5c1ae42151,209,25,FECE,FEDERACION DE CINES DE ESPAÑA,2,,9999,,0.25,443430717552-26,active,
fad08ae273544c4c8f1bfd1d2b34b35e,233,25,RA,Resource Association,2,10000,24999,,1.25,579113618554-35,active,
fabe86a0447b41a68b08fcdfe69d8459,209,13,m2,Marc Masmiquel Mendiara,1,,,,0.25,912991919272-49,,
faa9e3323e8d4700bf7e84c8b5068f1b,108,21,,Borsa Italiana,2,100000,199999,,1.5,848841415210-63,active,
faa77eff9d3b4eeda0c5e84a75c43639,155,31,,EUROCLIO,3,,9999,,0.25,532173019191-59,active,
faa4c49a9efd4a0a89076b81be3234b0,14,31,,ADF International,3,400000,499999,,3.5,69403354038-78,active,6
faa27b6b1ac644e5a74f6eb64f374eb7,21,26,BB,Boerenbond,2,50000,99999,,1.75,38367579546-45,active,
fa942f83a08442869d138870b8419960,21,13,,ALTERTOX,1,,,80000,1,400309213564-96,active,1
fa942b3ad9964d6e802e95e319c7c4f5,21,31,EChr,European Club for Human Resources,3,10000,24999,,1,871365816731-41,active,
fa8292db7783421a95bafd2954eee8be,108,31,BELLITALIANA,Bellezza Italiana,3,,9999,,6.5,361413613610-04,active,
fa68dd727c6f4b58b96953c43565be01,233,21,CCE,Coca-Cola Enterprises Europe Ltd.,2,300000,399999,,1.5,003394315003-45,active,
fa66cce04c6c4ff7b23c1976039e7c6c,176,31,ISOC-PL,Internet Society Poland,3,,9999,,1.5,095406213906-38,active,
fa5be1efbc484ebfaef9d07e1fa9aaf6,82,21,,Nordzucker AG,2,,,100000,0.25,30193137861-16,active,2
fa57c002167f4dfc858d1b036caed2b1,21,27,ECPA,European Card Payment Association,2,,9999,,0.75,839751414764-22,active,
fa568e9f91744347bd77f0eae2f4f251,21,25,egta,association of television and radio sales houses,2,,9999,,2.75,1977807375-62,active,2
fa56416dfbbd4c709d63ff6a99de1d5e,176,11,FIRST PR,FIRST Public Relations,1,,9999,,1.75,22178846568-19,active,
fa54ee781b06462ca322218656bcf6e7,21,26,EurECCA,European Cabin Crew Association,2,50000,99999,,1.75,444629814963-15,active,3
fa50a6011bb545b49ba8a1acb1621072,21,11,,acumen public affairs,1,200000,299999,,6,85679286747-21,active,6
fa4cb9ea13e54c25a2a265edac8dfdba,105,21,GD,Glen Dimplex,2,100000,199999,,1,595298519453-29,active,
fa4491d3788e453981ec1aa1dab9284c,165,21,Elkem,Elkem AS,2,,9999,,0.5,095703712545-41,active,
fa4166d5fcb74e4ea89fd5fe0e84f225,215,21,,AlpVision SA,2,,9999,,0.25,350385813808-39,active,
fa3d81fad0ca49349e657458b5710f2b,108,21,VITA,Vita Società Editoriale,2,,,0,0.5,320544213233-74,active,1
fa3ba49879924f28b3fc557c7150c775,21,31,OSEPI,Open Society European Policy Institute,3,2250000,2499999,,19.75,8557515321-37,active,10
fa36297c08e343ce8bd2766708dd1e7e,21,31,,COMMUNIA association for the public domain,3,,,3000,1.5,003277719548-45,active,
fa30ac2918dd4865964af6dd2d16ff6a,21,11,,Grayling,1,2250000,2499999,,23.5,53141413510-95,active,5
fa2fc208dc1c4b3ab936403f64e2efdf,21,51,RCCEI,Church of Cyprus to the E.U. in Brussels,5,,9999,,3,01774163859-33,active,2
fa27c5fb16824b36830d36c27aa96519,233,26,ECCH,European Central Council of Homeopaths,2,10000,24999,,0.25,04627551301-91,active,
fa1a9924e2ca485989c6aaee71049145,59,26,CAU,Cabin Union Denmark,2,,9999,,0.25,83516826220-48,active,
fa1893f77fcc4e758a963dce6867a009,21,25,CEPF,Conféderation Européenne des Propriétaires Forestiers,2,300000,399999,,4,3647455667-08,active,4
fa0165a8b5ad4ed190dd46eeb9a5f492,127,31,EPF,European Patients’ Forum,3,,9999,,2.75,61911227368-75,active,4
f9f79d0968ac4e8081a489b92fe22c63,21,31,EQAR,European Quality Assurance Register for Higher Education,3,,9999,,2.5,672204711627-29,active,
f9e83014d6f945e7940d31d0acbb356d,75,42,IGS,Groupe Institut de Gestion Sociale,4,,,,0.25,600995519778-41,,
f9d8a52174b5461e815683dc244e80b6,233,11,,Inline Policy,1,,9999,,0.25,660137014271-28,active,1
f9d72c9b761e4f3ab7225b20b74d0dae,75,26,FNSEA,Fédération Nationale des Syndicats d'Exploitants Agricoles,2,100000,199999,,3,59530682147-07,active,
f9d57737a8ed475898511a1b5a531637,215,31,GAIN,Global Alliance for Improved Nutrition,3,,9999,,151,732947612309-50,active,
f9d0319ba5024d66806662ff0d135ef4,104,31,GYO,Global Youth Organization,3,,9999,,88.75,421644611124-87,active,
f9cd52a26c1f4bce9cd9cc757e47dfa0,127,11,,Taxand,1,,,,0.25,79903044440-02,,
f9c9652c30b64767a836a9e870023989,14,31,VIER PFOTEN,VIER PFOTEN International,3,100000,199999,,0.75,69150873293-75,active,3
f9c6d3ee4c464d27892fbd1c1cd26be6,215,21,Holcim,Holcim,2,,,,2.75,626908810188-39,,1
f9c1b54b6ede42ae94e5b8cc681844b7,21,31,,Continental Trout Conservation Fund,3,,,24000,7.25,502135017604-11,active,
f9bc7ae7c091462796f2ac068949c1d6,82,65,IFATSEA,International Federation of Air Traffic Safety Electronics Associations,6,,,30000,1.25,589234910197-33,active,
f9b8e1c5d8a446928294427eac9fac81,75,21,,Danone,2,200000,299999,,3,65744846168-89,active,3
f9b61e64d89546ca85d6e6564b0dbd44,75,31,,La Chambre Philharmonique,3,,9999,,0.25,795539518518-78,active,
f9b4c8b72cb343d1969b78faaa034bf6,180,31,CRCC,Camera de Comert si Industrie Bilaterala Romania-Columbia,3,,,9000,4,462051116107-12,active,
f99718d7e615436aa9c3cf4a4a2d7546,21,31,EPF,European Passengers' Federation,3,,9999,,0.5,52829609107-37,active,
f9937bd4ec45423399237e0a4f96b395,75,11,,Global Warning,1,,9999,,0.25,994651214997-44,active,
f98e6e3980944c0f9171355ef137d799,234,21,Lilly,Eli Lilly and Company,2,700000,799999,,1.75,04657143399-39,active,2
f98ddda0fbef40e1b5fccdf9b49ab5ee,82,11,Symbios,Symbios Funding & Consulting GmbH,1,,,3000,2,432628513867-52,active,
f98400f0e7424427b3d1885e3322f323,180,21,AAOPFR,Romanian Association of Inland Ship Owners and Port Operators,2,,9999,,0.25,677659511359-59,active,
f9773dd70a334132aaafbabc0ff5ab21,21,21,SWIFT,Society for Worldwide Interbank Financial Telecommunication,2,800000,899999,,1.75,011095511691-05,active,2
f975feddd0af483c860a8f0abbba0885,209,11,BANKINTER,"BANKINTER, S.A.",1,,,0,0.25,680621614660-96,active,
f95b1f1e29eb40b5b403c95f0f6153ba,155,25,,Pictoright,2,,9999,,0.25,71661405464-53,active,
f94a27e1c17841bca3ce7da5bcada0d3,233,27,The Enterprise Forum,The Enterprise Forum Ltd,2,,9999,,0.25,815597915972-20,active,
f946d90c10874e39a33998c3d7ff705a,82,21,IBB Netzwerk GmbH,Industrielle Biotechnologie Bayern Netzwerk GmbH,2,,,15000,0.25,135682410341-59,active,
f935fc0635f1409a9122e41f3841c397,177,25,APETRO,Associação Portuguesa de Empresas Petrolíferas,2,,9999,,1.75,424387214082-04,active,
